Age,M,F
0-4,45106267,39934767
5-9,46319087,40225712
10-14,45044032,38648113
15-19,44286173,38535391
20-24,46956410,41620012
25-29,54633535,49681080
30-34,65544747,61670474
35-39,49370823,46920301
40-44,51155493,48766184
45-49,62836913,60442592
50-54,60946291,59710325
55-59,47588180,46379016
60-64,38607054,38368062
65-69,35185041,36260434
70-74,19746314,21631501
75-79,11801212,13715744
80-84,6808650,9097473
85-89,2787103,4583542
90-94,748881,1525990
95-99,140322,386612
100+,11731,56108
