Age,M,F
0-4,61184852,55596970
5-9,62910580,57039427
10-14,66812183,60172728
15-19,66525043,59164382
20-24,64478247,57319089
25-29,61604481,55079640
30-34,58243202,52817775
35-39,52838830,48499876
40-44,45523908,42635961
45-49,39881404,37840217
50-54,34484803,32947978
55-59,29500956,28445217
60-64,24129236,23591764
65-69,18287177,18288098
70-74,10982591,11861814
75-79,6861862,7794418
80-84,3746644,4538052
85-89,1554275,1903736
90-94,461093,576998
95-99,102398,145066
100+,15806,28978
