Age,M,F
0-4,10019240,9584856
5-9,10371128,9916621
10-14,10805817,10341652
15-19,10837194,10413408
20-24,11423547,11012420
25-29,12104301,11638797
30-34,11512068,11191353
35-39,10672776,10603872
40-44,10039561,10112012
45-49,10029885,10106982
50-54,10471185,10395279
55-59,10754302,10936920
60-64,9912939,10516713
65-69,8262182,9153264
70-74,6356712,7402146
75-79,4116773,5133603
80-84,2711133,3534132
85-89,1508564,2354382
90-94,705344,1348383
95-99,192914,470608
100+,18734,71215
