# of cases: https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_India
1    2020-01-30	   1
3    2020-02-02	   2
4    2020-02-03	   3
32   2020-03-02	   5
33   2020-03-03	   6
34   2020-03-04	   28
35   2020-03-05	   30
36   2020-03-06	   31
37   2020-03-07	   34
38   2020-03-08	   39
39   2020-03-09	   44
40   2020-03-10	   50
41   2020-03-11	   60
42   2020-03-12	   73
43   2020-03-13	   81
44   2020-03-14	   97
45   2020-03-15	   107
46   2020-03-16	   118
47   2020-03-17	   137
48   2020-03-18	   151
49   2020-03-19	   173
50   2020-03-20	   223
51   2020-03-21	   283
52   2020-03-22	   360
53   2020-03-23	   434
54   2020-03-24	   519
55   2020-03-25	   606
