Ages,10,11,12,13,14,15,16,17,18,19,20
Dates,06/03/2020,13/03/2020,20/03/2020,27/03/2020,03/04/2020,10/04/2020,17/04/2020,24/04/2020,01/05/2020,08/05/2020,15/05/2020
0-4,0,0,0,0,0,0,1,0,0,1,1
5-9,0,0,0,0,0,0,0,0,0,0,0
10-14,0,0,0,0,0,1,0,0,0,0,0
15-19,0,0,0,2,3,1,2,0,0,0,1
20-24,0,0,1,1,5,2,3,4,3,3,0
25-29,0,0,2,3,6,13,6,8,2,3,2
30-34,0,0,0,12,13,10,10,12,9,3,4
35-39,0,0,0,9,15,28,25,14,10,8,5
40-44,0,1,2,10,28,51,44,34,13,15,13
45-49,0,0,7,26,71,88,71,53,41,23,16
50-54,0,0,16,41,96,171,152,115,73,46,25
55-59,0,1,13,75,200,264,243,211,115,81,59
60-64,0,4,20,92,276,431,360,253,160,133,74
65-69,0,5,28,131,366,530,485,341,261,171,120
70-74,1,6,37,215,590,854,775,569,383,331,182
75-79,2,2,47,289,806,1204,1073,829,654,463,322
80-84,1,7,73,347,1005,1549,1540,1309,970,692,499
85-89,0,8,84,333,857,1516,1707,1448,1095,884,605
90+,1,7,69,268,789,1415,1683,1617,1320,1017,711
