Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Death chance
,03/01/2020,10/01/2020,17/01/2020,24/01/2020,31/01/2020,07/02/2020,14/02/2020,21/02/2020,28/02/2020,06/03/2020,13/03/2020,20/03/2020,27/03/2020,03/04/2020,10/04/2020,
 all ages,,0,0,0,0,0,0,0,0,0,2,38,384,1774,4777,0.01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
15,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0.002
20,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0.002
25,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,0.002
30,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,0.002
35,0,0,0,0,0,0,0,0,0,0,0,0,8,13,20,0.002
40,0,0,0,0,0,0,0,0,0,0,1,2,8,23,30,0.004
45,0,0,0,0,0,0,0,0,0,0,0,6,24,66,57,0.004
50,0,0,0,0,0,0,0,0,0,0,0,15,36,85,125,0.013
55,0,0,0,0,0,0,0,0,0,0,1,13,69,179,193,0.013
60,0,0,0,0,0,0,0,0,0,0,3,19,86,253,315,0.036
65,0,0,0,0,0,0,0,0,0,0,4,27,123,334,393,0.036
70,0,0,0,0,0,0,0,0,0,0,6,34,209,548,627,0.08
75,0,0,0,0,0,0,0,0,0,1,2,45,282,751,944,0.08
80,0,0,0,0,0,0,0,0,0,1,6,71,335,954,1196,0.148
85,0,0,0,0,0,0,0,0,0,0,8,84,317,804,1176,0.148
90,0,0,0,0,0,0,0,0,0,0,7,66,261,744,1057,0.148
