Name,Pop
E06000047,526980
E06000005,106566
E06000001,93242
E06000002,140545
E06000057,320274
E06000003,136718
E06000004,197213
E11000007,1136371
E08000037,202508
E08000021,300196
E08000022,205985
E08000023,150265
E08000024,277417
E12000002,7292093
E06000008,148942
E06000009,139305
E06000049,380790
E06000050,340502
E06000006,128432
E06000007,209547
E10000006,498888
E07000026,97527
E07000027,67137
E07000028,108387
E07000029,68424
E07000030,52881
E07000031,104532
E11000001,2812569
E08000001,285372
E08000002,190108
E08000003,547627
E08000004,235623
E08000005,220001
E08000006,254408
E08000007,291775
E08000008,225197
E08000009,236370
E08000010,326088
E10000017,1210053
E07000117,88527
E07000118,116821
E07000119,79770
E07000120,80815
E07000121,144246
E07000122,91405
E07000123,141818
E07000124,60057
E07000125,70895
E07000126,110527
E07000127,113949
E07000128,111223
E11000002,1423065
E08000011,149571
E08000012,494814
E08000014,275396
E08000013,180049
E08000015,323235
E12000003,5479615
E06000011,339614
E06000010,260645
E06000012,159821
E06000013,172005
E06000014,209893
E10000023,614505
E07000163,56832
E07000164,91134
E07000165,160533
E07000166,53244
E07000167,54920
E07000168,108736
E07000169,89106
E11000003,1402918
E08000016,245199
E08000017,310542
E08000018,264671
E08000019,582506
E11000006,2320214
E08000032,537173
E08000033,210082
E08000034,438727
E08000035,789194
E08000036,345038
E12000004,4804149
E06000015,257174
E06000016,355218
E06000018,331069
E06000017,39697
E10000007,796142
E07000032,126678
E07000033,79530
E07000034,104628
E07000035,71977
E07000036,115490
E07000037,92221
E07000038,101125
E07000039,104493
E10000018,698268
E07000129,100421
E07000130,182643
E07000131,92499
E07000132,112423
E07000133,51100
E07000134,102126
E07000135,57056
E10000019,755833
E07000136,69366
E07000137,140741
E07000138,99039
E07000139,115985
E07000140,93980
E07000141,141853
E07000142,94869
E10000021,747622
E07000150,70827
E07000151,84484
E07000152,93906
E07000153,101266
E07000154,225146
E07000155,92515
E07000156,79478
E10000024,823126
E07000170,127151
E07000171,116839
E07000172,113272
E07000173,117786
E07000174,108841
E07000175,121566
E07000176,117671
E12000005,5900757
E06000019,192107
E06000051,320274
E06000021,255833
E06000020,177799
E10000028,875219
E07000192,100109
E07000193,118574
E07000194,103965
E07000195,129490
E07000196,112126
E07000197,135880
E07000198,98397
E07000199,76678
E10000031,571010
E07000218,64850
E07000219,128902
E07000220,107194
E07000221,127580
E07000222,142484
E11000005,2916458
E08000025,1141374
E08000026,366785
E08000027,320626
E08000028,327378
E08000029,214909
E08000030,283378
E08000031,262008
E10000034,592057
E07000234,98662
E07000235,78113
E07000236,84989
E07000237,101891
E07000238,127340
E07000239,101062
E12000006,6201214
E06000055,171623
E06000056,283606
E06000032,214109
E06000031,201041
E06000033,182463
E06000034,172525
E10000003,651482
E07000008,125758
E07000009,89362
E07000010,101491
E07000011,177352
E07000012,157519
E10000012,1477764
E07000066,185862
E07000067,151561
E07000068,76550
E07000069,90070
E07000070,177079
E07000071,192523
E07000072,131137
E07000073,86594
E07000074,64425
