!    time (d)     u          v      prev (=I0/S0)
    0.0000    1.498500    0.001500    0.001000
    0.0020    1.498498    0.001501    0.001000
    0.0040    1.498496    0.001501    0.001001
    0.0060    1.498493    0.001502    0.001001
    0.0080    1.498491    0.001503    0.001002
    0.0100    1.498489    0.001504    0.001002
    0.0120    1.498486    0.001504    0.001003
    0.0140    1.498484    0.001505    0.001003
    0.0160    1.498482    0.001506    0.001004
    0.0180    1.498480    0.001507    0.001004
    0.0200    1.498477    0.001507    0.001005
    0.0220    1.498475    0.001508    0.001005
    0.0240    1.498473    0.001509    0.001006
    0.0260    1.498471    0.001510    0.001007
    0.0280    1.498468    0.001511    0.001007
    0.0300    1.498466    0.001511    0.001008
    0.0320    1.498464    0.001512    0.001008
    0.0340    1.498462    0.001513    0.001009
    0.0360    1.498459    0.001514    0.001009
    0.0380    1.498457    0.001514    0.001010
    0.0400    1.498455    0.001515    0.001010
    0.0420    1.498453    0.001516    0.001011
    0.0440    1.498450    0.001517    0.001011
    0.0460    1.498448    0.001517    0.001012
    0.0480    1.498446    0.001518    0.001012
    0.0500    1.498443    0.001519    0.001013
    0.0520    1.498441    0.001520    0.001013
    0.0540    1.498439    0.001520    0.001014
    0.0560    1.498437    0.001521    0.001014
    0.0580    1.498434    0.001522    0.001015
    0.0600    1.498432    0.001523    0.001015
    0.0620    1.498430    0.001523    0.001016
    0.0640    1.498427    0.001524    0.001016
    0.0660    1.498425    0.001525    0.001017
    0.0680    1.498423    0.001526    0.001017
    0.0700    1.498421    0.001526    0.001018
    0.0720    1.498418    0.001527    0.001018
    0.0740    1.498416    0.001528    0.001019
    0.0760    1.498414    0.001529    0.001019
    0.0780    1.498411    0.001529    0.001020
    0.0800    1.498409    0.001530    0.001020
    0.0820    1.498407    0.001531    0.001021
    0.0840    1.498405    0.001532    0.001021
    0.0860    1.498402    0.001532    0.001022
    0.0880    1.498400    0.001533    0.001022
    0.0900    1.498398    0.001534    0.001023
    0.0920    1.498395    0.001535    0.001023
    0.0940    1.498393    0.001536    0.001024
    0.0960    1.498391    0.001536    0.001024
    0.0980    1.498389    0.001537    0.001025
    0.1000    1.498386    0.001538    0.001025
    0.1020    1.498384    0.001539    0.001026
    0.1040    1.498382    0.001539    0.001026
    0.1060    1.498379    0.001540    0.001027
    0.1080    1.498377    0.001541    0.001027
    0.1100    1.498375    0.001542    0.001028
    0.1120    1.498372    0.001542    0.001028
    0.1140    1.498370    0.001543    0.001029
    0.1160    1.498368    0.001544    0.001029
    0.1180    1.498365    0.001545    0.001030
    0.1200    1.498363    0.001546    0.001030
    0.1220    1.498361    0.001546    0.001031
    0.1240    1.498358    0.001547    0.001031
    0.1260    1.498356    0.001548    0.001032
    0.1280    1.498354    0.001549    0.001032
    0.1300    1.498352    0.001549    0.001033
    0.1320    1.498349    0.001550    0.001033
    0.1340    1.498347    0.001551    0.001034
    0.1360    1.498345    0.001552    0.001034
    0.1380    1.498342    0.001552    0.001035
    0.1400    1.498340    0.001553    0.001036
    0.1420    1.498338    0.001554    0.001036
    0.1440    1.498335    0.001555    0.001037
    0.1460    1.498333    0.001556    0.001037
    0.1480    1.498331    0.001556    0.001038
    0.1500    1.498328    0.001557    0.001038
    0.1520    1.498326    0.001558    0.001039
    0.1540    1.498324    0.001559    0.001039
    0.1560    1.498321    0.001559    0.001040
    0.1580    1.498319    0.001560    0.001040
    0.1600    1.498317    0.001561    0.001041
    0.1620    1.498314    0.001562    0.001041
    0.1640    1.498312    0.001563    0.001042
    0.1660    1.498310    0.001563    0.001042
    0.1680    1.498307    0.001564    0.001043
    0.1700    1.498305    0.001565    0.001043
    0.1720    1.498303    0.001566    0.001044
    0.1740    1.498300    0.001566    0.001044
    0.1760    1.498298    0.001567    0.001045
    0.1780    1.498295    0.001568    0.001045
    0.1800    1.498293    0.001569    0.001046
    0.1820    1.498291    0.001570    0.001046
    0.1840    1.498288    0.001570    0.001047
    0.1860    1.498286    0.001571    0.001047
    0.1880    1.498284    0.001572    0.001048
    0.1900    1.498281    0.001573    0.001048
    0.1920    1.498279    0.001574    0.001049
    0.1940    1.498277    0.001574    0.001050
    0.1960    1.498274    0.001575    0.001050
    0.1980    1.498272    0.001576    0.001051
    0.2000    1.498270    0.001577    0.001051
    0.2020    1.498267    0.001577    0.001052
    0.2040    1.498265    0.001578    0.001052
    0.2060    1.498262    0.001579    0.001053
    0.2080    1.498260    0.001580    0.001053
    0.2100    1.498258    0.001581    0.001054
    0.2120    1.498255    0.001581    0.001054
    0.2140    1.498253    0.001582    0.001055
    0.2160    1.498251    0.001583    0.001055
    0.2180    1.498248    0.001584    0.001056
    0.2200    1.498246    0.001585    0.001056
    0.2220    1.498243    0.001585    0.001057
    0.2240    1.498241    0.001586    0.001057
    0.2260    1.498239    0.001587    0.001058
    0.2280    1.498236    0.001588    0.001058
    0.2300    1.498234    0.001588    0.001059
    0.2320    1.498232    0.001589    0.001060
    0.2340    1.498229    0.001590    0.001060
    0.2360    1.498227    0.001591    0.001061
    0.2380    1.498224    0.001592    0.001061
    0.2400    1.498222    0.001592    0.001062
    0.2420    1.498220    0.001593    0.001062
    0.2440    1.498217    0.001594    0.001063
    0.2460    1.498215    0.001595    0.001063
    0.2480    1.498213    0.001596    0.001064
    0.2500    1.498210    0.001596    0.001064
    0.2520    1.498208    0.001597    0.001065
    0.2540    1.498205    0.001598    0.001065
    0.2560    1.498203    0.001599    0.001066
    0.2580    1.498201    0.001600    0.001066
    0.2600    1.498198    0.001600    0.001067
    0.2620    1.498196    0.001601    0.001067
    0.2640    1.498193    0.001602    0.001068
    0.2660    1.498191    0.001603    0.001069
    0.2680    1.498189    0.001604    0.001069
    0.2700    1.498186    0.001604    0.001070
    0.2720    1.498184    0.001605    0.001070
    0.2740    1.498181    0.001606    0.001071
    0.2760    1.498179    0.001607    0.001071
    0.2780    1.498177    0.001608    0.001072
    0.2800    1.498174    0.001608    0.001072
    0.2820    1.498172    0.001609    0.001073
    0.2840    1.498169    0.001610    0.001073
    0.2860    1.498167    0.001611    0.001074
    0.2880    1.498164    0.001612    0.001074
    0.2900    1.498162    0.001612    0.001075
    0.2920    1.498160    0.001613    0.001075
    0.2940    1.498157    0.001614    0.001076
    0.2960    1.498155    0.001615    0.001077
    0.2980    1.498152    0.001616    0.001077
    0.3000    1.498150    0.001616    0.001078
    0.3020    1.498148    0.001617    0.001078
    0.3040    1.498145    0.001618    0.001079
    0.3060    1.498143    0.001619    0.001079
    0.3080    1.498140    0.001620    0.001080
    0.3100    1.498138    0.001620    0.001080
    0.3120    1.498135    0.001621    0.001081
    0.3140    1.498133    0.001622    0.001081
    0.3160    1.498131    0.001623    0.001082
    0.3180    1.498128    0.001624    0.001082
    0.3200    1.498126    0.001624    0.001083
    0.3220    1.498123    0.001625    0.001084
    0.3240    1.498121    0.001626    0.001084
    0.3260    1.498118    0.001627    0.001085
    0.3280    1.498116    0.001628    0.001085
    0.3300    1.498113    0.001629    0.001086
    0.3320    1.498111    0.001629    0.001086
    0.3340    1.498109    0.001630    0.001087
    0.3360    1.498106    0.001631    0.001087
    0.3380    1.498104    0.001632    0.001088
    0.3400    1.498101    0.001633    0.001088
    0.3420    1.498099    0.001633    0.001089
    0.3440    1.498096    0.001634    0.001089
    0.3460    1.498094    0.001635    0.001090
    0.3480    1.498091    0.001636    0.001091
    0.3500    1.498089    0.001637    0.001091
    0.3520    1.498087    0.001637    0.001092
    0.3540    1.498084    0.001638    0.001092
    0.3560    1.498082    0.001639    0.001093
    0.3580    1.498079    0.001640    0.001093
    0.3600    1.498077    0.001641    0.001094
    0.3620    1.498074    0.001642    0.001094
    0.3640    1.498072    0.001642    0.001095
    0.3660    1.498069    0.001643    0.001095
    0.3680    1.498067    0.001644    0.001096
    0.3700    1.498064    0.001645    0.001097
    0.3720    1.498062    0.001646    0.001097
    0.3740    1.498060    0.001646    0.001098
    0.3760    1.498057    0.001647    0.001098
    0.3780    1.498055    0.001648    0.001099
    0.3800    1.498052    0.001649    0.001099
    0.3820    1.498050    0.001650    0.001100
    0.3840    1.498047    0.001651    0.001100
    0.3860    1.498045    0.001651    0.001101
    0.3880    1.498042    0.001652    0.001101
    0.3900    1.498040    0.001653    0.001102
    0.3920    1.498037    0.001654    0.001103
    0.3940    1.498035    0.001655    0.001103
    0.3960    1.498032    0.001656    0.001104
    0.3980    1.498030    0.001656    0.001104
    0.4000    1.498027    0.001657    0.001105
    0.4020    1.498025    0.001658    0.001105
    0.4040    1.498022    0.001659    0.001106
    0.4060    1.498020    0.001660    0.001106
    0.4080    1.498017    0.001660    0.001107
    0.4100    1.498015    0.001661    0.001108
    0.4120    1.498012    0.001662    0.001108
    0.4140    1.498010    0.001663    0.001109
    0.4160    1.498007    0.001664    0.001109
    0.4180    1.498005    0.001665    0.001110
    0.4200    1.498002    0.001665    0.001110
    0.4220    1.498000    0.001666    0.001111
    0.4240    1.497997    0.001667    0.001111
    0.4260    1.497995    0.001668    0.001112
    0.4280    1.497992    0.001669    0.001113
    0.4300    1.497990    0.001670    0.001113
    0.4320    1.497987    0.001670    0.001114
    0.4340    1.497985    0.001671    0.001114
    0.4360    1.497982    0.001672    0.001115
    0.4380    1.497980    0.001673    0.001115
    0.4400    1.497977    0.001674    0.001116
    0.4420    1.497975    0.001675    0.001116
    0.4440    1.497972    0.001675    0.001117
    0.4460    1.497970    0.001676    0.001118
    0.4480    1.497967    0.001677    0.001118
    0.4500    1.497965    0.001678    0.001119
    0.4520    1.497962    0.001679    0.001119
    0.4540    1.497960    0.001680    0.001120
    0.4560    1.497957    0.001680    0.001120
    0.4580    1.497955    0.001681    0.001121
    0.4600    1.497952    0.001682    0.001121
    0.4620    1.497950    0.001683    0.001122
    0.4640    1.497947    0.001684    0.001123
    0.4660    1.497945    0.001685    0.001123
    0.4680    1.497942    0.001685    0.001124
    0.4700    1.497940    0.001686    0.001124
    0.4720    1.497937    0.001687    0.001125
    0.4740    1.497935    0.001688    0.001125
    0.4760    1.497932    0.001689    0.001126
    0.4780    1.497930    0.001690    0.001126
    0.4800    1.497927    0.001691    0.001127
    0.4820    1.497925    0.001691    0.001128
    0.4840    1.497922    0.001692    0.001128
    0.4860    1.497919    0.001693    0.001129
    0.4880    1.497917    0.001694    0.001129
    0.4900    1.497914    0.001695    0.001130
    0.4920    1.497912    0.001696    0.001130
    0.4940    1.497909    0.001696    0.001131
    0.4960    1.497907    0.001697    0.001132
    0.4980    1.497904    0.001698    0.001132
    0.5000    1.497902    0.001699    0.001133
    0.5020    1.497899    0.001700    0.001133
    0.5040    1.497897    0.001701    0.001134
    0.5060    1.497894    0.001702    0.001134
    0.5080    1.497891    0.001702    0.001135
    0.5100    1.497889    0.001703    0.001135
    0.5120    1.497886    0.001704    0.001136
    0.5140    1.497884    0.001705    0.001137
    0.5160    1.497881    0.001706    0.001137
    0.5180    1.497879    0.001707    0.001138
    0.5200    1.497876    0.001707    0.001138
    0.5220    1.497874    0.001708    0.001139
    0.5240    1.497871    0.001709    0.001139
    0.5260    1.497868    0.001710    0.001140
    0.5280    1.497866    0.001711    0.001141
    0.5300    1.497863    0.001712    0.001141
    0.5320    1.497861    0.001713    0.001142
    0.5340    1.497858    0.001713    0.001142
