! time (days)      u            v          prev=I/S0
    -2.00000     1.50000     0.00000     0.00000
    -1.99900     1.50000     0.00000     0.00000
    -1.99800     1.50000     0.00000     0.00000
    -1.99700     1.50000     0.00000     0.00000
    -1.99600     1.50000     0.00000     0.00000
    -1.99500     1.50000     0.00000     0.00000
    -1.99400     1.50000     0.00000     0.00000
    -1.99300     1.50000     0.00000     0.00000
    -1.99200     1.50000     0.00000     0.00000
    -1.99100     1.50000     0.00000     0.00000
    -1.99000     1.50000     0.00000     0.00000
    -1.98900     1.50000     0.00000     0.00000
    -1.98800     1.50000     0.00000     0.00000
    -1.98700     1.50000     0.00000     0.00000
    -1.98600     1.50000     0.00000     0.00000
    -1.98500     1.50000     0.00000     0.00000
    -1.98400     1.50000     0.00000     0.00000
    -1.98300     1.50000     0.00000     0.00000
    -1.98200     1.50000     0.00000     0.00000
    -1.98100     1.50000     0.00000     0.00000
    -1.98000     1.50000     0.00000     0.00000
    -1.97900     1.50000     0.00000     0.00000
    -1.97800     1.50000     0.00000     0.00000
    -1.97700     1.50000     0.00000     0.00000
    -1.97600     1.50000     0.00000     0.00000
    -1.97500     1.50000     0.00000     0.00000
    -1.97400     1.50000     0.00000     0.00000
    -1.97300     1.50000     0.00000     0.00000
    -1.97200     1.50000     0.00000     0.00000
    -1.97100     1.50000     0.00000     0.00000
    -1.97000     1.50000     0.00000     0.00000
    -1.96900     1.50000     0.00000     0.00000
    -1.96800     1.50000     0.00000     0.00000
    -1.96700     1.50000     0.00000     0.00000
    -1.96600     1.50000     0.00000     0.00000
    -1.96500     1.50000     0.00000     0.00000
    -1.96400     1.50000     0.00000     0.00000
    -1.96300     1.50000     0.00000     0.00000
    -1.96200     1.50000     0.00000     0.00000
    -1.96100     1.50000     0.00000     0.00000
    -1.96000     1.50000     0.00000     0.00000
    -1.95900     1.50000     0.00000     0.00000
    -1.95800     1.50000     0.00000     0.00000
    -1.95700     1.50000     0.00000     0.00000
    -1.95600     1.50000     0.00000     0.00000
    -1.95500     1.50000     0.00000     0.00000
    -1.95400     1.50000     0.00000     0.00000
    -1.95300     1.50000     0.00000     0.00000
    -1.95200     1.50000     0.00000     0.00000
    -1.95100     1.50000     0.00000     0.00000
    -1.95000     1.50000     0.00000     0.00000
    -1.94900     1.50000     0.00000     0.00000
    -1.94800     1.50000     0.00000     0.00000
    -1.94700     1.50000     0.00000     0.00000
    -1.94600     1.50000     0.00000     0.00000
    -1.94500     1.50000     0.00000     0.00000
    -1.94400     1.50000     0.00000     0.00000
    -1.94300     1.50000     0.00000     0.00000
    -1.94200     1.50000     0.00000     0.00000
    -1.94100     1.50000     0.00000     0.00000
    -1.94000     1.50000     0.00000     0.00000
    -1.93900     1.50000     0.00000     0.00000
    -1.93800     1.50000     0.00000     0.00000
    -1.93700     1.50000     0.00000     0.00000
    -1.93600     1.50000     0.00000     0.00000
    -1.93500     1.50000     0.00000     0.00000
    -1.93400     1.50000     0.00000     0.00000
    -1.93300     1.50000     0.00000     0.00000
    -1.93200     1.50000     0.00000     0.00000
    -1.93100     1.50000     0.00000     0.00000
    -1.93000     1.50000     0.00000     0.00000
    -1.92900     1.50000     0.00000     0.00000
    -1.92800     1.50000     0.00000     0.00000
    -1.92700     1.50000     0.00000     0.00000
    -1.92600     1.50000     0.00000     0.00000
    -1.92500     1.50000     0.00000     0.00000
    -1.92400     1.50000     0.00000     0.00000
    -1.92300     1.50000     0.00000     0.00000
    -1.92200     1.50000     0.00000     0.00000
    -1.92100     1.50000     0.00000     0.00000
    -1.92000     1.50000     0.00000     0.00000
    -1.91900     1.50000     0.00000     0.00000
    -1.91800     1.50000     0.00000     0.00000
    -1.91700     1.50000     0.00000     0.00000
    -1.91600     1.50000     0.00000     0.00000
    -1.91500     1.50000     0.00000     0.00000
    -1.91400     1.50000     0.00000     0.00000
    -1.91300     1.50000     0.00000     0.00000
    -1.91200     1.50000     0.00000     0.00000
    -1.91100     1.50000     0.00000     0.00000
    -1.91000     1.50000     0.00000     0.00000
    -1.90900     1.50000     0.00000     0.00000
    -1.90800     1.50000     0.00000     0.00000
    -1.90700     1.50000     0.00000     0.00000
    -1.90600     1.50000     0.00000     0.00000
    -1.90500     1.50000     0.00000     0.00000
    -1.90400     1.50000     0.00000     0.00000
    -1.90300     1.50000     0.00000     0.00000
    -1.90200     1.50000     0.00000     0.00000
    -1.90100     1.50000     0.00000     0.00000
    -1.90000     1.50000     0.00000     0.00000
    -1.89900     1.50000     0.00000     0.00000
    -1.89800     1.50000     0.00000     0.00000
    -1.89700     1.50000     0.00000     0.00000
    -1.89600     1.50000     0.00000     0.00000
    -1.89500     1.50000     0.00000     0.00000
    -1.89400     1.50000     0.00000     0.00000
    -1.89300     1.50000     0.00000     0.00000
    -1.89200     1.50000     0.00000     0.00000
    -1.89100     1.50000     0.00000     0.00000
    -1.89000     1.50000     0.00000     0.00000
    -1.88900     1.50000     0.00000     0.00000
    -1.88800     1.50000     0.00000     0.00000
    -1.88700     1.50000     0.00000     0.00000
    -1.88600     1.50000     0.00000     0.00000
    -1.88500     1.50000     0.00000     0.00000
    -1.88400     1.50000     0.00000     0.00000
    -1.88300     1.50000     0.00000     0.00000
    -1.88200     1.50000     0.00000     0.00000
    -1.88100     1.50000     0.00000     0.00000
    -1.88000     1.50000     0.00000     0.00000
    -1.87900     1.50000     0.00000     0.00000
    -1.87800     1.50000     0.00000     0.00000
    -1.87700     1.50000     0.00000     0.00000
    -1.87600     1.50000     0.00000     0.00000
    -1.87500     1.50000     0.00000     0.00000
    -1.87400     1.50000     0.00000     0.00000
    -1.87300     1.50000     0.00000     0.00000
    -1.87200     1.50000     0.00000     0.00000
    -1.87100     1.50000     0.00000     0.00000
