! time (days)      u            v          prev=I/S0
    -2.00000     5.00000     0.00000     0.00000
    -1.99900     5.00000     0.00000     0.00000
    -1.99800     5.00000     0.00000     0.00000
    -1.99700     5.00000     0.00000     0.00000
    -1.99600     5.00000     0.00000     0.00000
    -1.99500     5.00000     0.00000     0.00000
    -1.99400     5.00000     0.00000     0.00000
    -1.99300     5.00000     0.00000     0.00000
    -1.99200     5.00000     0.00000     0.00000
    -1.99100     5.00000     0.00000     0.00000
    -1.99000     5.00000     0.00000     0.00000
    -1.98900     5.00000     0.00000     0.00000
    -1.98800     5.00000     0.00000     0.00000
    -1.98700     5.00000     0.00000     0.00000
    -1.98600     5.00000     0.00000     0.00000
    -1.98500     5.00000     0.00000     0.00000
    -1.98400     5.00000     0.00000     0.00000
    -1.98300     5.00000     0.00000     0.00000
    -1.98200     5.00000     0.00000     0.00000
    -1.98100     5.00000     0.00000     0.00000
    -1.98000     5.00000     0.00000     0.00000
    -1.97900     5.00000     0.00000     0.00000
    -1.97800     5.00000     0.00000     0.00000
    -1.97700     5.00000     0.00000     0.00000
    -1.97600     5.00000     0.00000     0.00000
    -1.97500     5.00000     0.00000     0.00000
    -1.97400     5.00000     0.00000     0.00000
    -1.97300     5.00000     0.00000     0.00000
    -1.97200     5.00000     0.00000     0.00000
    -1.97100     5.00000     0.00000     0.00000
    -1.97000     5.00000     0.00000     0.00000
    -1.96900     5.00000     0.00000     0.00000
    -1.96800     5.00000     0.00000     0.00000
    -1.96700     5.00000     0.00000     0.00000
    -1.96600     5.00000     0.00000     0.00000
    -1.96500     5.00000     0.00000     0.00000
    -1.96400     5.00000     0.00000     0.00000
    -1.96300     5.00000     0.00000     0.00000
    -1.96200     5.00000     0.00000     0.00000
    -1.96100     5.00000     0.00000     0.00000
    -1.96000     5.00000     0.00000     0.00000
    -1.95900     5.00000     0.00000     0.00000
    -1.95800     5.00000     0.00000     0.00000
    -1.95700     5.00000     0.00000     0.00000
    -1.95600     5.00000     0.00000     0.00000
    -1.95500     5.00000     0.00000     0.00000
    -1.95400     5.00000     0.00000     0.00000
    -1.95300     5.00000     0.00000     0.00000
    -1.95200     5.00000     0.00000     0.00000
    -1.95100     5.00000     0.00000     0.00000
    -1.95000     5.00000     0.00000     0.00000
    -1.94900     5.00000     0.00000     0.00000
    -1.94800     5.00000     0.00000     0.00000
    -1.94700     5.00000     0.00000     0.00000
    -1.94600     5.00000     0.00000     0.00000
    -1.94500     5.00000     0.00000     0.00000
    -1.94400     5.00000     0.00000     0.00000
    -1.94300     5.00000     0.00000     0.00000
    -1.94200     5.00000     0.00000     0.00000
    -1.94100     5.00000     0.00000     0.00000
    -1.94000     5.00000     0.00000     0.00000
    -1.93900     5.00000     0.00000     0.00000
    -1.93800     5.00000     0.00000     0.00000
    -1.93700     5.00000     0.00000     0.00000
    -1.93600     5.00000     0.00000     0.00000
    -1.93500     5.00000     0.00000     0.00000
    -1.93400     5.00000     0.00000     0.00000
    -1.93300     5.00000     0.00000     0.00000
    -1.93200     5.00000     0.00000     0.00000
    -1.93100     5.00000     0.00000     0.00000
    -1.93000     5.00000     0.00000     0.00000
    -1.92900     5.00000     0.00000     0.00000
    -1.92800     5.00000     0.00000     0.00000
    -1.92700     5.00000     0.00000     0.00000
    -1.92600     5.00000     0.00000     0.00000
    -1.92500     5.00000     0.00000     0.00000
    -1.92400     5.00000     0.00000     0.00000
    -1.92300     5.00000     0.00000     0.00000
    -1.92200     5.00000     0.00000     0.00000
    -1.92100     5.00000     0.00000     0.00000
    -1.92000     5.00000     0.00000     0.00000
    -1.91900     5.00000     0.00000     0.00000
    -1.91800     5.00000     0.00000     0.00000
    -1.91700     5.00000     0.00000     0.00000
    -1.91600     5.00000     0.00000     0.00000
    -1.91500     5.00000     0.00000     0.00000
    -1.91400     5.00000     0.00000     0.00000
    -1.91300     5.00000     0.00000     0.00000
    -1.91200     5.00000     0.00000     0.00000
    -1.91100     5.00000     0.00000     0.00000
    -1.91000     5.00000     0.00000     0.00000
    -1.90900     5.00000     0.00000     0.00000
    -1.90800     5.00000     0.00000     0.00000
    -1.90700     5.00000     0.00000     0.00000
    -1.90600     5.00000     0.00000     0.00000
    -1.90500     5.00000     0.00000     0.00000
    -1.90400     5.00000     0.00000     0.00000
    -1.90300     5.00000     0.00000     0.00000
    -1.90200     5.00000     0.00000     0.00000
    -1.90100     5.00000     0.00000     0.00000
    -1.90000     5.00000     0.00000     0.00000
    -1.89900     5.00000     0.00000     0.00000
    -1.89800     5.00000     0.00000     0.00000
    -1.89700     5.00000     0.00000     0.00000
    -1.89600     5.00000     0.00000     0.00000
    -1.89500     5.00000     0.00000     0.00000
    -1.89400     5.00000     0.00000     0.00000
    -1.89300     5.00000     0.00000     0.00000
    -1.89200     5.00000     0.00000     0.00000
    -1.89100     5.00000     0.00000     0.00000
    -1.89000     5.00000     0.00000     0.00000
    -1.88900     5.00000     0.00000     0.00000
    -1.88800     5.00000     0.00000     0.00000
    -1.88700     5.00000     0.00000     0.00000
    -1.88600     5.00000     0.00000     0.00000
    -1.88500     5.00000     0.00000     0.00000
    -1.88400     5.00000     0.00000     0.00000
    -1.88300     5.00000     0.00000     0.00000
    -1.88200     5.00000     0.00000     0.00000
    -1.88100     5.00000     0.00000     0.00000
    -1.88000     5.00000     0.00000     0.00000
    -1.87900     5.00000     0.00000     0.00000
    -1.87800     5.00000     0.00000     0.00000
    -1.87700     5.00000     0.00000     0.00000
    -1.87600     5.00000     0.00000     0.00000
    -1.87500     5.00000     0.00000     0.00000
    -1.87400     5.00000     0.00000     0.00000
    -1.87300     5.00000     0.00000     0.00000
    -1.87200     5.00000     0.00000     0.00000
    -1.87100     5.00000     0.00000     0.00000
    -1.87000     5.00000     0.00000     0.00000
    -1.86900     5.00000     0.00000     0.00000
    -1.86800     5.00000     0.00000     0.00000
    -1.86700     5.00000     0.00000     0.00000
    -1.86600     5.00000     0.00000     0.00000
    -1.86500     5.00000     0.00000     0.00000
    -1.86400     5.00000     0.00000     0.00000
    -1.86300     5.00000     0.00000     0.00000
    -1.86200     5.00000     0.00000     0.00000
    -1.86100     5.00000     0.00000     0.00000
    -1.86000     5.00000     0.00000     0.00000
    -1.85900     5.00000     0.00000     0.00000
    -1.85800     5.00000     0.00000     0.00000
    -1.85700     5.00000     0.00000     0.00000
    -1.85600     5.00000     0.00000     0.00000
